State,District,Name,Party,Office Room,Phone,Committee 1,Committee 2,Committee 3,Committee 4
New Jersey,2nd,"Van Drew, Jefferson",R,2447 RHOB,(202) 225-6572,Judiciary,Transportation and Infrastructure,,
New Jersey,3rd,"Kim, Andy",D,2444 RHOB,(202) 225-4765,Armed Services,Foreign Affairs,Select Comm on the Strategic Competition US and China,
New Jersey,4th,"Smith, Christopher",R,2373 RHOB,(202) 225-3765,Foreign Affairs,,,
New Jersey,5th,"Gottheimer, Josh",D,203 CHOB,(202) 225-4465,Financial Services,Intelligence,,
New Jersey,6th,"Pallone, Frank",D,2107 RHOB,(202) 225-4671,Energy and Commerce,,,
New Jersey,7th,"Kean, Thomas",R,251 CHOB,(202) 225-5361,Foreign Affairs,Transportation and Infrastructure,"Science, Space, and Technology",
New Jersey,8th,"Menendez, Robert",D,1007 LHOB,(202) 225-7919,Homeland Security,Transportation and Infrastructure,,
New Jersey,9th,"Pascrell, Bill",D,2409 RHOB,(202) 225-5751,Ways and Means,,,
New Jersey,10th,"Payne, Donald",D,106 CHOB,(202) 225-3436,Homeland Security,Transportation and Infrastructure,,
New Jersey,11th,"Sherrill, Mikie",D,1427 LHOB,(202) 225-5034,Armed Services,Select Comm on the Strategic Competition US and China,,
New Jersey,12th,"Watson Coleman, Bonnie",D,168 CHOB,(202) 225-5801,Appropriations,,,
New Mexico,1st,"Stansbury, Melanie",D,1421 LHOB,(202) 225-6316,Oversight and Accountability,Natural Resources,,
New Mexico,2nd,"Vasquez, Gabe",D,1517 LHOB,(202) 225-2365,Agriculture,Armed Services,,
New Mexico,3rd,"Leger Fernandez, Teresa",D,1510 LHOB,(202) 225-6190,Education and the Workforce,Natural Resources,Rules,
New York,1st,"LaLota, Nick",R,1530 LHOB,(202) 225-3826,Armed Services,Homeland Security,Small Business,
New York,2nd,"Garbarino, Andrew",R,2344 RHOB,(202) 225-7896,Financial Services,Homeland Security,Ethics,
New York,3rd,"Suozzi, Thomas R.",D,1117 LHOB,(202) 225-3335,Homeland Security,,,
New York,4th,"D'Esposito, Anthony",R,1508 LHOB,(202) 225-5516,House Administration,Homeland Security,Transportation and Infrastructure,
New York,5th,"Meeks, Gregory",D,2310 RHOB,(202) 225-3461,Financial Services,Foreign Affairs,,
New York,6th,"Meng, Grace",D,2209 RHOB,(202) 225-2601,Appropriations,,,
New York,7th,"Velazquez, Nydia",D,2302 RHOB,(202) 225-2361,Financial Services,Natural Resources,Small Business,
New York,8th,"Jeffries, Hakeem",D,2433 RHOB,(202) 225-5936,,,,
New York,9th,"Clarke, Yvette",D,2058 RHOB,(202) 225-6231,Homeland Security,Energy and Commerce,,
New York,10th,"Goldman, Daniel",D,245 CHOB,(202) 225-7944,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,Homeland Security,
New York,11th,"Malliotakis, Nicole",R,351 CHOB,(202) 225-3371,Select Subcommittee on the Coronavirus Pandemic,Ways and Means,,
New York,12th,"Nadler, Jerrold",D,2132 RHOB,(202) 225-5635,Judiciary,,,
New York,13th,"Espaillat, Adriano",D,2332 RHOB,(202) 225-4365,Appropriations,Budget,,
New York,14th,"Ocasio-Cortez, Alexandria",D,250 CHOB,(202) 225-3965,Oversight and Accountability,Natural Resources,,
New York,15th,"Torres, Ritchie",D,1414 LHOB,(202) 225-4361,Financial Services,Select Comm on the Strategic Competition US and China,,
New York,16th,"Bowman, Jamaal",D,345 CHOB,(202) 225-2464,Education and the Workforce,"Science, Space, and Technology",,
New York,17th,"Lawler, Michael",R,1013 LHOB,(202) 225-6506,Financial Services,Foreign Affairs,,
New York,18th,"Ryan, Patrick",D,1030 LHOB,(202) 225-5614,Armed Services,Transportation and Infrastructure,,
New York,19th,"Molinaro, Marcus",R,1207 LHOB,(202) 225-5441,Agriculture,Transportation and Infrastructure,Small Business,
New York,20th,"Tonko, Paul",D,2369 RHOB,(202) 225-5076,Energy and Commerce,"Science, Space, and Technology",,
New York,21st,"Stefanik, Elise",R,2211 RHOB,(202) 225-4611,Armed Services,Education and the Workforce,Select Subcommittee on the Weaponization of the Fed Govt,Intelligence
New York,22nd,"Williams, Brandon",R,1022 LHOB,(202) 225-3701,Education and the Workforce,Transportation and Infrastructure,"Science, Space, and Technology",
New York,23rd,"Langworthy, Nicholas",R,1630 LHOB,(202) 225-3161,Agriculture,Oversight and Accountability,Rules,
New York,24th,"Tenney, Claudia",R,2349 RHOB,(202) 225-3665,"Science, Space, and Technology",Ways and Means,,
New York,25th,"Morelle, Joseph",D,570 CHOB,(202) 225-3615,Appropriations,House Administration,Joint Committee of Congress on the Library,
New York,26th,"Higgins, Brian- Vacancy",D,2269 RHOB,(202) 225-3306,,,,
North Carolina,1st,"Davis, Donald",D,1123 LHOB,(202) 225-3101,Agriculture,Armed Services,,
North Carolina,2nd,"Ross, Deborah",D,1221 LHOB,(202) 225-3032,Judiciary,Ethics,"Science, Space, and Technology",Select Subcommittee on the Coronavirus Pandemic
North Carolina,3rd,"Murphy, Gregory",R,407 CHOB,(202) 225-3415,House Administration,Veterans' Affairs,Ways and Means,
North Carolina,4th,"Foushee, Valerie",D,1716 LHOB,(202) 225-1784,Transportation and Infrastructure,"Science, Space, and Technology",,
North Carolina,5th,"Foxx, Virginia",R,2462 RHOB,(202) 225-2071,Education and the Workforce,Oversight and Accountability,,
North Carolina,6th,"Manning, Kathy",D,307 CHOB,(202) 225-3065,Education and the Workforce,Foreign Affairs,,
North Carolina,7th,"Rouzer, David",R,2333 RHOB,(202) 225-2731,Agriculture,Transportation and Infrastructure,,
North Carolina,8th,"Bishop, Dan",R,2459 RHOB,(202) 225-1976,Select Subcommittee on the Weaponization of the Fed Govt,Homeland Security,Judiciary,
North Carolina,9th,"Hudson, Richard",R,2112 RHOB,(202) 225-3715,Energy and Commerce,,,
North Carolina,10th,"McHenry, Patrick",R,2134 RHOB,(202) 225-2576,Financial Services,,,
North Carolina,11th,"Edwards, Chuck",R,1505 LHOB,(202) 225-6401,Appropriations,Budget,,
North Carolina,12th,"Adams, Alma",D,2436 RHOB,(202) 225-1510,Agriculture,Education and the Workforce,,
North Carolina,13th,"Nickel, Wiley",D,1133 LHOB,(202) 225-4531,Financial Services,,,
North Carolina,14th,"Jackson, Jeff",D,1318 LHOB,(202) 225-5634,Armed Services,"Science, Space, and Technology",,
North Dakota,At Large,"Armstrong, Kelly",R,2235 RHOB,(202) 225-2611,Select Subcommittee on the Weaponization of the Fed Govt,Energy and Commerce,Judiciary,
Northern Mariana Islands,Delegate,"Sablan, Gregorio",D,2267 RHOB,(202) 225-2646,Education and the Workforce,Natural Resources,,
Ohio,1st,"Landsman, Greg",D,1432 LHOB,(202) 225-2216,Small Business,Veterans' Affairs,,
Ohio,2nd,"Wenstrup, Brad",R,2335 RHOB,(202) 225-3164,Intelligence,Select Subcommittee on the Coronavirus Pandemic,Ways and Means,
Ohio,3rd,"Beatty, Joyce",D,2079 RHOB,(202) 225-4324,Financial Services,,,
Ohio,4th,"Jordan, Jim",R,2056 RHOB,(202) 225-2676,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,Judiciary,
Ohio,5th,"Latta, Robert",R,2467 RHOB,(202) 225-6405,Energy and Commerce,,,
Ohio,6th,"Johnson, Bill- Vacancy",R,2082 RHOB,(202) 225-5705,,,,
Ohio,7th,"Miller, Max",R,143 CHOB,(202) 225-3876,Agriculture,"Science, Space, and Technology",,
Ohio,8th,"Davidson, Warren",R,2113 RHOB,(202) 225-6205,Financial Services,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,
Ohio,9th,"Kaptur, Marcy",D,2186 RHOB,(202) 225-4146,Appropriations,,,
Ohio,10th,"Turner, Michael",R,2183 RHOB,(202) 225-6465,Armed Services,Oversight and Accountability,Intelligence,
Ohio,11th,"Brown, Shontel",D,449 CHOB,(202) 225-7032,Agriculture,Oversight and Accountability,Select Comm on the Strategic Competition US and China,
Ohio,12th,"Balderson, Troy",R,2429 RHOB,(202) 225-5355,Energy and Commerce,,,
Ohio,13th,"Sykes, Emilia",D,1217 LHOB,(202) 225-6265,Transportation and Infrastructure,"Science, Space, and Technology",,
Ohio,14th,"Joyce, David",R,2065 RHOB,(202) 225-5731,Appropriations,Ethics,,
Ohio,15th,"Carey, Mike",R,1433 LHOB,(202) 225-2015,House Administration,Joint Committee of Congress on the Library,Ways and Means,
Oklahoma,1st,"Hern, Kevin",R,1019 LHOB,(202) 225-2211,Ways and Means,,,
Oklahoma,2nd,"Brecheen, Josh",R,1208 LHOB,(202) 225-2701,Budget,Homeland Security,,
Oklahoma,3rd,"Lucas, Frank",R,2405 RHOB,(202) 225-5565,Agriculture,Financial Services,"Science, Space, and Technology",
Oklahoma,4th,"Cole, Tom",R,2207 RHOB,(202) 225-6165,Appropriations,Rules,,
Oklahoma,5th,"Bice, Stephanie",R,2437 RHOB,(202) 225-2132,Appropriations,House Administration,"Science, Space, and Technology",
Oregon,1st,"Bonamici, Suzanne",D,2231 RHOB,(202) 225-0855,Education and the Workforce,"Science, Space, and Technology",,
Oregon,2nd,"Bentz, Cliff",R,409 CHOB,(202) 225-6730,Natural Resources,Judiciary,,
Oregon,3rd,"Blumenauer, Earl",D,1111 LHOB,(202) 225-4811,Budget,Ways and Means,,
Oregon,4th,"Hoyle, Val",D,1620 LHOB,(202) 225-6416,Natural Resources,Transportation and Infrastructure,,
Oregon,5th,"Chavez-DeRemer, Lori",R,1722 LHOB,(202) 225-5711,Agriculture,Education and the Workforce,Transportation and Infrastructure,
Oregon,6th,"Salinas, Andrea",D,109 CHOB,(202) 225-5643,Agriculture,"Science, Space, and Technology",,
Pennsylvania,1st,"Fitzpatrick, Brian",R,271 CHOB,(202) 225-4276,Intelligence,Ways and Means,,
Pennsylvania,2nd,"Boyle, Brendan",D,1502 LHOB,(202) 225-6111,Budget,,,
Pennsylvania,3rd,"Evans, Dwight",D,1105 LHOB,(202) 225-4001,Ways and Means,,,
Pennsylvania,4th,"Dean, Madeleine",D,150 CHOB,(202) 225-4731,Foreign Affairs,Judiciary,,
Pennsylvania,5th,"Scanlon, Mary",D,1227 LHOB,(202) 225-2011,Judiciary,Rules,,
Pennsylvania,6th,"Houlahan, Chrissy",D,1727 LHOB,(202) 225-4315,Armed Services,Intelligence,,
Pennsylvania,7th,"Wild, Susan",D,1027 LHOB,(202) 225-6411,Education and the Workforce,Foreign Affairs,Ethics,
Pennsylvania,8th,"Cartwright, Matt",D,2102 RHOB,(202) 225-5546,Appropriations,,,
Pennsylvania,9th,"Meuser, Daniel",R,350 CHOB,(202) 225-6511,Financial Services,Small Business,,
Pennsylvania,10th,"Perry, Scott",R,2160 RHOB,(202) 225-5836,Foreign Affairs,Oversight and Accountability,Transportation and Infrastructure,
Pennsylvania,11th,"Smucker, Lloyd",R,302 CHOB,(202) 225-2411,Budget,Education and the Workforce,Ways and Means,
Pennsylvania,12th,"Lee, Summer",D,243 CHOB,(202) 225-2135,Oversight and Accountability,"Science, Space, and Technology",,
Pennsylvania,13th,"Joyce, John",R,152 CHOB,(202) 225-2431,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,,
Pennsylvania,14th,"Reschenthaler, Guy",R,342 CHOB,(202) 225-2065,Appropriations,Rules,,
Pennsylvania,15th,"Thompson, Glenn",R,400 CHOB,(202) 225-5121,Agriculture,Education and the Workforce,,
Pennsylvania,16th,"Kelly, Mike",R,1707 LHOB,(202) 225-5406,Ways and Means,,,
Pennsylvania,17th,"Deluzio, Christopher",D,1222 LHOB,(202) 225-2301,Armed Services,Veterans' Affairs,,
Puerto Rico,Resident Commissioner,"Gonzalez-Colon, Jenniffer",R,2338 RHOB,(202) 225-2615,Natural Resources,Transportation and Infrastructure,,
Rhode Island,1st,"Amo, Gabe",D,2233 RHOB,(202) 225-4911,Foreign Affairs,"Science, Space, and Technology",,
Rhode Island,2nd,"Magaziner, Seth",D,1218 LHOB,(202) 225-2735,Homeland Security,Natural Resources,,
South Carolina,1st,"Mace, Nancy",R,1728 LHOB,(202) 225-3176,Armed Services,Oversight and Accountability,Veterans' Affairs,
South Carolina,2nd,"Wilson, Joe",R,1436 LHOB,(202) 225-2452,Armed Services,Education and the Workforce,Foreign Affairs,
South Carolina,3rd,"Duncan, Jeff",R,2229 RHOB,(202) 225-5301,Energy and Commerce,,,
South Carolina,4th,"Timmons, William",R,267 CHOB,(202) 225-6030,Financial Services,Oversight and Accountability,,
South Carolina,5th,"Norman, Ralph",R,569 CHOB,(202) 225-5501,Financial Services,Budget,Rules,
South Carolina,6th,"Clyburn, James",D,274 CHOB,(202) 225-3315,,,,
South Carolina,7th,"Fry, Russell",R,1626 LHOB,(202) 225-9895,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,Judiciary,
South Dakota,At Large,"Johnson, Dusty",R,1714 LHOB,(202) 225-2801,Agriculture,Transportation and Infrastructure,Select Comm on the Strategic Competition US and China,
Tennessee,1st,"Harshbarger, Diana",R,167 CHOB,(202) 225-6356,Energy and Commerce,,,
Tennessee,2nd,"Burchett, Tim",R,1122 LHOB,(202) 225-5435,Foreign Affairs,Oversight and Accountability,Transportation and Infrastructure,
Tennessee,3rd,"Fleischmann, Charles",R,2187 RHOB,(202) 225-3271,Appropriations,"Science, Space, and Technology",,
Tennessee,4th,"DesJarlais, Scott",R,2304 RHOB,(202) 225-6831,Agriculture,Armed Services,,
Tennessee,5th,"Ogles, Andrew",R,151 CHOB,(202) 225-4311,Financial Services,,,
Tennessee,6th,"Rose, John",R,2238 RHOB,(202) 225-4231,Agriculture,Financial Services,,
Tennessee,7th,"Green, Mark",R,2446 RHOB,(202) 225-2811,Foreign Affairs,Homeland Security,,
Tennessee,8th,"Kustoff, David",R,560 CHOB,(202) 225-4714,Ways and Means,,,
Tennessee,9th,"Cohen, Steve",D,2268 RHOB,(202) 225-3265,Judiciary,Transportation and Infrastructure,,
Texas,1st,"Moran, Nathaniel",R,1541 LHOB,(202) 225-3035,Education and the Workforce,Foreign Affairs,Judiciary,
Texas,2nd,"Crenshaw, Dan",R,248 CHOB,(202) 225-6565,Energy and Commerce,Intelligence,,
Texas,3rd,"Self, Keith",R,1113 LHOB,(202) 225-4201,Foreign Affairs,Veterans' Affairs,,
Texas,4th,"Fallon, Pat",R,2416 RHOB,(202) 225-6673,Armed Services,Oversight and Accountability,,
Texas,5th,"Gooden, Lance",R,2431 RHOB,(202) 225-3484,Armed Services,Judiciary,,
Texas,6th,"Ellzey, Jake",R,1721 LHOB,(202) 225-2002,Appropriations,Small Business,,
Texas,7th,"Fletcher, Lizzie",D,346 CHOB,(202) 225-2571,Energy and Commerce,,,
Texas,8th,"Luttrell, Morgan",R,1320 LHOB,(202) 225-4901,Armed Services,Homeland Security,Veterans' Affairs,
Texas,9th,"Green, Al",D,2347 RHOB,(202) 225-7508,Financial Services,,,
Texas,10th,"McCaul, Michael",R,2300 RHOB,(202) 225-2401,Foreign Affairs,Homeland Security,,
Texas,11th,"Pfluger, August",R,1124 LHOB,(202) 225-3605,Homeland Security,Energy and Commerce,,
Texas,12th,"Granger, Kay",R,2308 RHOB,(202) 225-5071,Appropriations,,,
Texas,13th,"Jackson, Ronny",R,446 CHOB,(202) 225-3706,Agriculture,Armed Services,Foreign Affairs,Select Subcommittee on the Coronavirus Pandemic
Texas,14th,"Weber, Randy",R,107 CHOB,(202) 225-2831,Energy and Commerce,"Science, Space, and Technology",,
Texas,15th,"De La Cruz, Monica",R,1415 LHOB,(202) 225-9901,Agriculture,Financial Services,,
Texas,16th,"Escobar, Veronica",D,2448 RHOB,(202) 225-4831,Armed Services,Judiciary,Ethics,
Texas,17th,"Sessions, Pete",R,2204 RHOB,(202) 225-6105,Financial Services,Oversight and Accountability,,
Texas,18th,"Jackson Lee, Sheila",D,2314 RHOB,(202) 225-3816,Budget,Homeland Security,Judiciary,
Texas,19th,"Arrington, Jodey",R,1107 LHOB,(202) 225-4005,Budget,Ways and Means,,
Texas,20th,"Castro, Joaquin",D,2241 RHOB,(202) 225-3236,Foreign Affairs,Intelligence,,
Texas,21st,"Roy, Chip",R,103 CHOB,(202) 225-4236,Budget,Judiciary,Rules,
Texas,22nd,"Nehls, Troy",R,1104 LHOB,(202) 225-5951,Judiciary,Transportation and Infrastructure,,
Texas,23rd,"Gonzales, Tony",R,2244 RHOB,(202) 225-4511,Appropriations,Homeland Security,,
Texas,24th,"Van Duyne, Beth",R,1725 LHOB,(202) 225-6605,Small Business,Ways and Means,,
Texas,25th,"Williams, Roger",R,2336 RHOB,(202) 225-9896,Financial Services,Small Business,,
Texas,26th,"Burgess, Michael",R,2161 RHOB,(202) 225-7772,Budget,Energy and Commerce,Rules,
Texas,27th,"Cloud, Michael",R,171 CHOB,(202) 225-7742,Appropriations,Oversight and Accountability,Select Subcommittee on the Coronavirus Pandemic,
Texas,28th,"Cuellar, Henry",D,2372 RHOB,(202) 225-1640,Appropriations,,,
Texas,29th,"Garcia, Sylvia",D,2419 RHOB,(202) 225-1688,Financial Services,Select Subcommittee on the Weaponization of the Fed Govt,,
Texas,30th,"Crockett, Jasmine",D,1616 LHOB,(202) 225-8885,Agriculture,Oversight and Accountability,,
Texas,31st,"Carter, John",R,2208 RHOB,(202) 225-3864,Appropriations,,,
Texas,32nd,"Allred, Colin",D,348 CHOB,(202) 225-2231,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,Transportation and Infrastructure,
Texas,33rd,"Veasey, Marc",D,2348 RHOB,(202) 225-9897,Armed Services,Energy and Commerce,,
Texas,34th,"Gonzalez, Vicente",D,154 CHOB,(202) 225-2531,Financial Services,,,
Texas,35th,"Casar, Greg",D,1339 LHOB,(202) 225-5645,Agriculture,Oversight and Accountability,,
Texas,36th,"Babin, Brian",R,2236 RHOB,(202) 225-1555,Transportation and Infrastructure,"Science, Space, and Technology",,
Texas,37th,"Doggett, Lloyd",D,2307 RHOB,(202) 225-4865,Budget,Joint Committee on Taxation,Ways and Means,
Texas,38th,"Hunt, Wesley",R,1520 LHOB,(202) 225-5646,Natural Resources,Judiciary,Small Business,
Utah,1st,"Moore, Blake",R,1131 LHOB,(202) 225-0453,Budget,Ways and Means,,
Utah,2nd,"Maloy, Celeste",R,166 CHOB,(202) 225-9730,Transportation and Infrastructure,Small Business,,
Utah,3rd,"Curtis, John",R,2323 RHOB,(202) 225-7751,Energy and Commerce,Natural Resources,,
Utah,4th,"Owens, Burgess",R,309 CHOB,(202) 225-3011,Education and the Workforce,Transportation and Infrastructure,,
Vermont,At Large,"Balint, Becca",D,1408 LHOB,(202) 225-4115,Budget,Judiciary,,
Virginia,1st,"Wittman, Robert",R,2055 RHOB,(202) 225-4261,Armed Services,Natural Resources,Select Comm on the Strategic Competition US and China,
Virginia,2nd,"Kiggans, Jennifer",R,1037 LHOB,(202) 225-4215,Armed Services,Natural Resources,Veterans' Affairs,
Virginia,3rd,"Scott, Robert",D,2328 RHOB,(202) 225-8351,Budget,Education and the Workforce,,
Virginia,4th,"McClellan, Jennifer",D,2417 RHOB,(202) 225-6365,Armed Services,"Science, Space, and Technology",,
Virginia,5th,"Good, Bob",R,461 CHOB,(202) 225-4711,Budget,Education and the Workforce,,
Virginia,6th,"Cline, Ben",R,2443 RHOB,(202) 225-5431,Appropriations,Budget,Judiciary,
Virginia,7th,"Spanberger, Abigail",D,562 CHOB,(202) 225-2815,Agriculture,Intelligence,,
Virginia,8th,"Beyer, Donald",D,1119 LHOB,(202) 225-4376,Ways and Means,,,
Virginia,9th,"Griffith, H.",R,2202 RHOB,(202) 225-3861,House Administration,Energy and Commerce,,
Virginia,10th,"Wexton, Jennifer",D,1210 LHOB,(202) 225-5136,Appropriations,Budget,,
Virginia,11th,"Connolly, Gerald",D,2265 RHOB,(202) 225-1492,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,
Virgin Islands,Delegate,"Plaskett, Stacey",D,2059 RHOB,(202) 225-1790,Select Subcommittee on the Weaponization of the Fed Govt,Intelligence,,
Washington,1st,"DelBene, Suzan",D,2330 RHOB,(202) 225-6311,Ways and Means,,,
Washington,2nd,"Larsen, Rick",D,2163 RHOB,(202) 225-2605,Transportation and Infrastructure,,,
Washington,3rd,"Perez, Marie",D,1431 LHOB,(202) 225-3536,Agriculture,Small Business,,
Washington,4th,"Newhouse, Dan",R,504 CHOB,(202) 225-5816,Appropriations,Select Comm on the Strategic Competition US and China,,
Washington,5th,"Rodgers, Cathy",R,2188 RHOB,(202) 225-2006,Energy and Commerce,,,
Washington,6th,"Kilmer, Derek",D,1226 LHOB,(202) 225-5916,Appropriations,House Administration,,
Washington,7th,"Jayapal, Pramila",D,2346 RHOB,(202) 225-3106,Education and the Workforce,Judiciary,,
Washington,8th,"Schrier, Kim",D,1110 LHOB,(202) 225-7761,Energy and Commerce,,,
Washington,9th,"Smith, Adam",D,2264 RHOB,(202) 225-8901,Armed Services,,,
Washington,10th,"Strickland, Marilyn",D,1708 LHOB,(202) 225-9740,Armed Services,Transportation and Infrastructure,,
West Virginia,1st,"Miller, Carol",R,465 CHOB,(202) 225-3452,Ways and Means,,,
West Virginia,2nd,"Mooney, Alexander",R,2228 RHOB,(202) 225-2711,Financial Services,,,
Wisconsin,1st,"Steil, Bryan",R,1526 LHOB,(202) 225-3031,Financial Services,House Administration,Joint Committee of Congress on the Library,
Wisconsin,2nd,"Pocan, Mark",D,1026 LHOB,(202) 225-2906,Appropriations,,,
Wisconsin,3rd,"Van Orden, Derrick",R,1513 LHOB,(202) 225-5506,Agriculture,Transportation and Infrastructure,Veterans' Affairs,
Wisconsin,4th,"Moore, Gwen",D,2252 RHOB,(202) 225-4572,Ways and Means,,,
Wisconsin,5th,"Fitzgerald, Scott",R,1507 LHOB,(202) 225-5101,Financial Services,Judiciary,,
Wisconsin,6th,"Grothman, Glenn",R,1511 LHOB,(202) 225-2476,Budget,Education and the Workforce,Oversight and Accountability,
Wisconsin,7th,"Tiffany, Thomas",R,451 CHOB,(202) 225-3365,Natural Resources,Judiciary,,
Wisconsin,8th,"Gallagher, Mike",R,1211 LHOB,(202) 225-5665,Armed Services,Intelligence,Select Comm on the Strategic Competition US and China,
Wyoming,At Large,"Hageman, Harriet",R,1531 LHOB,(202) 225-2311,Select Subcommittee on the Weaponization of the Fed Govt,Natural Resources,Judiciary,
A,North Carolina 12th,"Adams, Alma",D,2436 RHOB,(202) 225-1510,Agriculture,Education and the Workforce,,
A,Alabama 4th,"Aderholt, Robert",R,266 CHOB,(202) 225-4876,Appropriations,,,
A,California 33rd,"Aguilar, Pete",D,108 CHOB,(202) 225-3201,Appropriations,,,
A,Missouri 4th,"Alford, Mark",R,1516 LHOB,(202) 225-2876,Agriculture,Armed Services,Small Business,
A,Georgia 12th,"Allen, Rick",R,462 CHOB,(202) 225-2823,Education and the Workforce,Energy and Commerce,,
A,Texas 32nd,"Allred, Colin",D,348 CHOB,(202) 225-2231,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,Transportation and Infrastructure,
A,Rhode Island 1st,"Amo, Gabe",D,2233 RHOB,(202) 225-4911,Foreign Affairs,"Science, Space, and Technology",,
A,Nevada 2nd,"Amodei, Mark",R,104 CHOB,(202) 225-6155,Appropriations,Joint Committee of Congress on the Library,,
A,North Dakota At Large,"Armstrong, Kelly",R,2235 RHOB,(202) 225-2611,Select Subcommittee on the Weaponization of the Fed Govt,Energy and Commerce,Judiciary,
A,Texas 19th,"Arrington, Jodey",R,1107 LHOB,(202) 225-4005,Budget,Ways and Means,,
A,Massachusetts 4th,"Auchincloss, Jake",D,1524 LHOB,(202) 225-5931,Transportation and Infrastructure,Select Comm on the Strategic Competition US and China,,
B,Texas 36th,"Babin, Brian",R,2236 RHOB,(202) 225-1555,Transportation and Infrastructure,"Science, Space, and Technology",,
B,Nebraska 2nd,"Bacon, Don",R,2104 RHOB,(202) 225-4155,Agriculture,Armed Services,,
B,Indiana 4th,"Baird, James",R,2303 RHOB,(202) 225-5037,Agriculture,Foreign Affairs,"Science, Space, and Technology",
B,Ohio 12th,"Balderson, Troy",R,2429 RHOB,(202) 225-5355,Energy and Commerce,,,
B,Vermont At Large,"Balint, Becca",D,1408 LHOB,(202) 225-4115,Budget,Judiciary,,
B,Indiana 3rd,"Banks, Jim",R,2418 RHOB,(202) 225-4436,Armed Services,Education and the Workforce,Select Comm on the Strategic Competition US and China,
B,Kentucky 6th,"Barr, Andy",R,2430 RHOB,(202) 225-4706,Financial Services,Foreign Affairs,Select Comm on the Strategic Competition US and China,
B,California 44th,"Barragan, Nanette",D,2312 RHOB,(202) 225-8220,Energy and Commerce,,,
B,Florida 4th,"Bean, Aaron",R,1239 LHOB,(202) 225-0123,Education and the Workforce,Transportation and Infrastructure,Small Business,
B,Ohio 3rd,"Beatty, Joyce",D,2079 RHOB,(202) 225-4324,Financial Services,,,
B,Oregon 2nd,"Bentz, Cliff",R,409 CHOB,(202) 225-6730,Natural Resources,Judiciary,,
B,California 6th,"Bera, Ami",D,172 CHOB,(202) 225-5716,Foreign Affairs,Intelligence,Select Subcommittee on the Coronavirus Pandemic,
B,Michigan 1st,"Bergman, Jack",R,566 CHOB,(202) 225-4735,Armed Services,Budget,Veterans' Affairs,
B,Virginia 8th,"Beyer, Donald",D,1119 LHOB,(202) 225-4376,Ways and Means,,,
B,Oklahoma 5th,"Bice, Stephanie",R,2437 RHOB,(202) 225-2132,Appropriations,House Administration,"Science, Space, and Technology",
B,Arizona 5th,"Biggs, Andy",R,252 CHOB,(202) 225-2635,Oversight and Accountability,Judiciary,,
B,Florida 12th,"Bilirakis, Gus",R,2306 RHOB,(202) 225-5755,Energy and Commerce,,,
B,North Carolina 8th,"Bishop, Dan",R,2459 RHOB,(202) 225-1976,Select Subcommittee on the Weaponization of the Fed Govt,Homeland Security,Judiciary,
B,Georgia 2nd,"Bishop, Sanford",D,2407 RHOB,(202) 225-3631,Agriculture,Appropriations,,
B,Oregon 3rd,"Blumenauer, Earl",D,1111 LHOB,(202) 225-4811,Budget,Ways and Means,,
B,Delaware At Large,"Blunt Rochester, Lisa",D,1724 LHOB,(202) 225-4165,Energy and Commerce,,,
B,Colorado 3rd,"Boebert, Lauren",R,1713 LHOB,(202) 225-4761,Oversight and Accountability,Natural Resources,,
B,Oregon 1st,"Bonamici, Suzanne",D,2231 RHOB,(202) 225-0855,Education and the Workforce,"Science, Space, and Technology",,
B,Illinois 12th,"Bost, Mike",R,352 CHOB,(202) 225-5661,Agriculture,Transportation and Infrastructure,Veterans' Affairs,
B,New York 16th,"Bowman, Jamaal",D,345 CHOB,(202) 225-2464,Education and the Workforce,"Science, Space, and Technology",,
B,Pennsylvania 2nd,"Boyle, Brendan",D,1502 LHOB,(202) 225-6111,Budget,,,
B,Oklahoma 2nd,"Brecheen, Josh",R,1208 LHOB,(202) 225-2701,Budget,Homeland Security,,
B,Ohio 11th,"Brown, Shontel",D,449 CHOB,(202) 225-7032,Agriculture,Oversight and Accountability,Select Comm on the Strategic Competition US and China,
B,California 26th,"Brownley, Julia",D,2262 RHOB,(202) 225-5811,Transportation and Infrastructure,Veterans' Affairs,,
B,Florida 16th,"Buchanan, Vern",R,2110 RHOB,(202) 225-5015,Joint Committee on Taxation,Ways and Means,,
B,Colorado 4th,"Buck, Ken- Vacancy",,2455 RHOB,(202) 225-4676,,,,
B,Indiana 8th,"Bucshon, Larry",R,2313 RHOB,(202) 225-4636,Energy and Commerce,,,
B,Illinois 13th,"Budzinski, Nikki",D,1009 LHOB,(202) 225-2371,Agriculture,Veterans' Affairs,,
B,Tennessee 2nd,"Burchett, Tim",R,1122 LHOB,(202) 225-5435,Foreign Affairs,Oversight and Accountability,Transportation and Infrastructure,
