State,District,Party,Office Room,Phone,fist_name,last_name,full_name,committee_1,committee_2,committee_3,committee_4
Minnesota,4th,D,2426 RHOB,(202) 225-6631,McCollum,Betty,McCollum Betty,Appropriations,,,
Minnesota,5th,D,1730 LHOB,(202) 225-4755,Omar,Ilhan,Omar Ilhan,Budget,Education and the Workforce,,
Minnesota,6th,R,464 CHOB,(202) 225-2331,Emmer,Tom,Emmer Tom,Financial Services,,,
Minnesota,7th,R,1004 LHOB,(202) 225-2165,Fischbach,Michelle,Fischbach Michelle,Budget,Rules,Ethics,Ways and Means
Minnesota,8th,R,145 CHOB,(202) 225-6211,Stauber,Pete,Stauber Pete,Natural Resources,Transportation and Infrastructure,Small Business,
Mississippi,1st,R,2243 RHOB,(202) 225-4306,Kelly,Trent,Kelly Trent,Agriculture,Armed Services,Intelligence,
Mississippi,2nd,D,2466 RHOB,(202) 225-5876,Thompson,Bennie,Thompson Bennie,Homeland Security,,,
Mississippi,3rd,R,450 CHOB,(202) 225-5031,Guest,Michael,Guest Michael,Appropriations,Homeland Security,Ethics,
Mississippi,4th,R,443 CHOB,(202) 225-5772,Ezell,Mike,Ezell Mike,Homeland Security,Transportation and Infrastructure,,
Missouri,1st,D,2463 RHOB,(202) 225-2406,Bush,Cori,Bush Cori,Oversight and Accountability,Judiciary,,
Missouri,2nd,R,2350 RHOB,(202) 225-1621,Wagner,Ann,Wagner Ann,Financial Services,Foreign Affairs,,
Missouri,3rd,R,2230 RHOB,(202) 225-2956,Luetkemeyer,Blaine,Luetkemeyer Blaine,Financial Services,Small Business,Select Comm on the Strategic Competition US and China,
Missouri,4th,R,1516 LHOB,(202) 225-2876,Alford,Mark,Alford Mark,Agriculture,Armed Services,Small Business,
Missouri,5th,D,2217 RHOB,(202) 225-4535,Cleaver,Emanuel,Cleaver Emanuel,Financial Services,,,
Missouri,6th,R,1135 LHOB,(202) 225-7041,Graves,Sam,Graves Sam,Armed Services,Transportation and Infrastructure,,
Missouri,7th,R,1108 LHOB,(202) 225-6536,Burlison,Eric,Burlison Eric,Education and the Workforce,Oversight and Accountability,Transportation and Infrastructure,
Missouri,8th,R,1011 LHOB,(202) 225-4404,Smith,Jason,Smith Jason,Joint Committee on Taxation,Ways and Means,,
Montana,1st,R,512 CHOB,(202) 225-5628,Zinke,Ryan,Zinke Ryan,Appropriations,"Science, Space, and Technology",,
Montana,2nd,R,1023 LHOB,(202) 225-3211,Rosendale,Matthew,Rosendale Matthew,Natural Resources,Veterans' Affairs,,
Nebraska,1st,R,343 CHOB,(202) 225-4806,Flood,Mike,Flood Mike,Financial Services,,,
Nebraska,2nd,R,2104 RHOB,(202) 225-4155,Bacon,Don,Bacon Don,Agriculture,Armed Services,,
Nebraska,3rd,R,502 CHOB,(202) 225-6435,Smith,Adrian,Smith Adrian,Joint Committee on Taxation,Ways and Means,,
Nevada,1st,D,2464 RHOB,(202) 225-5965,Titus,Dina,Titus Dina,Foreign Affairs,Transportation and Infrastructure,,
Nevada,2nd,R,104 CHOB,(202) 225-6155,Amodei,Mark,Amodei Mark,Appropriations,Joint Committee of Congress on the Library,,
Nevada,3rd,D,365 CHOB,(202) 225-3252,Lee,Susie,Lee Susie,Appropriations,Natural Resources,,
Nevada,4th,D,406 CHOB,(202) 225-9894,Horsford,Steven,Horsford Steven,Armed Services,Financial Services,,
New Hampshire,1st,D,452 CHOB,(202) 225-5456,Pappas,Chris,Pappas Chris,Transportation and Infrastructure,Small Business,Veterans' Affairs,
New Hampshire,2nd,D,2201 RHOB,(202) 225-5206,Kuster,Ann,Kuster Ann,Energy and Commerce,,,
New Jersey,1st,D,2427 RHOB,(202) 225-6501,Norcross,Donald,Norcross Donald,Armed Services,Education and the Workforce,,
New Jersey,2nd,R,2447 RHOB,(202) 225-6572,Van Drew,Jefferson,Van Drew Jefferson,Judiciary,Transportation and Infrastructure,,
New Jersey,3rd,D,2444 RHOB,(202) 225-4765,Kim,Andy,Kim Andy,Armed Services,Foreign Affairs,Select Comm on the Strategic Competition US and China,
New Jersey,4th,R,2373 RHOB,(202) 225-3765,Smith,Christopher,Smith Christopher,Foreign Affairs,,,
New Jersey,5th,D,203 CHOB,(202) 225-4465,Gottheimer,Josh,Gottheimer Josh,Financial Services,Intelligence,,
New Jersey,6th,D,2107 RHOB,(202) 225-4671,Pallone,Frank,Pallone Frank,Energy and Commerce,,,
New Jersey,7th,R,251 CHOB,(202) 225-5361,Kean,Thomas,Kean Thomas,Foreign Affairs,Transportation and Infrastructure,"Science, Space, and Technology",
New Jersey,8th,D,1007 LHOB,(202) 225-7919,Menendez,Robert,Menendez Robert,Homeland Security,Transportation and Infrastructure,,
New Jersey,9th,D,2409 RHOB,(202) 225-5751,Pascrell,Bill,Pascrell Bill,Ways and Means,,,
New Jersey,10th,D,106 CHOB,(202) 225-3436,Payne,Donald,Payne Donald,Homeland Security,Transportation and Infrastructure,,
New Jersey,11th,D,1427 LHOB,(202) 225-5034,Sherrill,Mikie,Sherrill Mikie,Armed Services,Select Comm on the Strategic Competition US and China,,
New Jersey,12th,D,168 CHOB,(202) 225-5801,Watson Coleman,Bonnie,Watson Coleman Bonnie,Appropriations,,,
New Mexico,1st,D,1421 LHOB,(202) 225-6316,Stansbury,Melanie,Stansbury Melanie,Oversight and Accountability,Natural Resources,,
New Mexico,2nd,D,1517 LHOB,(202) 225-2365,Vasquez,Gabe,Vasquez Gabe,Agriculture,Armed Services,,
New Mexico,3rd,D,1510 LHOB,(202) 225-6190,Leger Fernandez,Teresa,Leger Fernandez Teresa,Education and the Workforce,Natural Resources,Rules,
New York,1st,R,1530 LHOB,(202) 225-3826,LaLota,Nick,LaLota Nick,Armed Services,Homeland Security,Small Business,
New York,2nd,R,2344 RHOB,(202) 225-7896,Garbarino,Andrew,Garbarino Andrew,Financial Services,Homeland Security,Ethics,
New York,3rd,D,1117 LHOB,(202) 225-3335,Suozzi,Thomas R.,Suozzi Thomas R.,Homeland Security,,,
New York,4th,R,1508 LHOB,(202) 225-5516,D'Esposito,Anthony,D'Esposito Anthony,House Administration,Homeland Security,Transportation and Infrastructure,
New York,5th,D,2310 RHOB,(202) 225-3461,Meeks,Gregory,Meeks Gregory,Financial Services,Foreign Affairs,,
New York,6th,D,2209 RHOB,(202) 225-2601,Meng,Grace,Meng Grace,Appropriations,,,
New York,7th,D,2302 RHOB,(202) 225-2361,Velazquez,Nydia,Velazquez Nydia,Financial Services,Natural Resources,Small Business,
New York,8th,D,2433 RHOB,(202) 225-5936,Jeffries,Hakeem,Jeffries Hakeem,,,,
New York,9th,D,2058 RHOB,(202) 225-6231,Clarke,Yvette,Clarke Yvette,Homeland Security,Energy and Commerce,,
New York,10th,D,245 CHOB,(202) 225-7944,Goldman,Daniel,Goldman Daniel,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,Homeland Security,
New York,11th,R,351 CHOB,(202) 225-3371,Malliotakis,Nicole,Malliotakis Nicole,Select Subcommittee on the Coronavirus Pandemic,Ways and Means,,
New York,12th,D,2132 RHOB,(202) 225-5635,Nadler,Jerrold,Nadler Jerrold,Judiciary,,,
New York,13th,D,2332 RHOB,(202) 225-4365,Espaillat,Adriano,Espaillat Adriano,Appropriations,Budget,,
New York,14th,D,250 CHOB,(202) 225-3965,Ocasio-Cortez,Alexandria,Ocasio-Cortez Alexandria,Oversight and Accountability,Natural Resources,,
New York,15th,D,1414 LHOB,(202) 225-4361,Torres,Ritchie,Torres Ritchie,Financial Services,Select Comm on the Strategic Competition US and China,,
New York,16th,D,345 CHOB,(202) 225-2464,Bowman,Jamaal,Bowman Jamaal,Education and the Workforce,"Science, Space, and Technology",,
New York,17th,R,1013 LHOB,(202) 225-6506,Lawler,Michael,Lawler Michael,Financial Services,Foreign Affairs,,
New York,18th,D,1030 LHOB,(202) 225-5614,Ryan,Patrick,Ryan Patrick,Armed Services,Transportation and Infrastructure,,
New York,19th,R,1207 LHOB,(202) 225-5441,Molinaro,Marcus,Molinaro Marcus,Agriculture,Transportation and Infrastructure,Small Business,
New York,20th,D,2369 RHOB,(202) 225-5076,Tonko,Paul,Tonko Paul,Energy and Commerce,"Science, Space, and Technology",,
New York,21st,R,2211 RHOB,(202) 225-4611,Stefanik,Elise,Stefanik Elise,Armed Services,Education and the Workforce,Select Subcommittee on the Weaponization of the Fed Govt,Intelligence
New York,22nd,R,1022 LHOB,(202) 225-3701,Williams,Brandon,Williams Brandon,Education and the Workforce,Transportation and Infrastructure,"Science, Space, and Technology",
New York,23rd,R,1630 LHOB,(202) 225-3161,Langworthy,Nicholas,Langworthy Nicholas,Agriculture,Oversight and Accountability,Rules,
New York,24th,R,2349 RHOB,(202) 225-3665,Tenney,Claudia,Tenney Claudia,"Science, Space, and Technology",Ways and Means,,
New York,25th,D,570 CHOB,(202) 225-3615,Morelle,Joseph,Morelle Joseph,Appropriations,House Administration,Joint Committee of Congress on the Library,
New York,26th,D,2269 RHOB,(202) 225-3306,Higgins,Brian- Vacancy,Higgins Brian- Vacancy,,,,
North Carolina,1st,D,1123 LHOB,(202) 225-3101,Davis,Donald,Davis Donald,Agriculture,Armed Services,,
North Carolina,2nd,D,1221 LHOB,(202) 225-3032,Ross,Deborah,Ross Deborah,Judiciary,Ethics,"Science, Space, and Technology",Select Subcommittee on the Coronavirus Pandemic
North Carolina,3rd,R,407 CHOB,(202) 225-3415,Murphy,Gregory,Murphy Gregory,House Administration,Veterans' Affairs,Ways and Means,
North Carolina,4th,D,1716 LHOB,(202) 225-1784,Foushee,Valerie,Foushee Valerie,Transportation and Infrastructure,"Science, Space, and Technology",,
North Carolina,5th,R,2462 RHOB,(202) 225-2071,Foxx,Virginia,Foxx Virginia,Education and the Workforce,Oversight and Accountability,,
North Carolina,6th,D,307 CHOB,(202) 225-3065,Manning,Kathy,Manning Kathy,Education and the Workforce,Foreign Affairs,,
North Carolina,7th,R,2333 RHOB,(202) 225-2731,Rouzer,David,Rouzer David,Agriculture,Transportation and Infrastructure,,
North Carolina,8th,R,2459 RHOB,(202) 225-1976,Bishop,Dan,Bishop Dan,Select Subcommittee on the Weaponization of the Fed Govt,Homeland Security,Judiciary,
North Carolina,9th,R,2112 RHOB,(202) 225-3715,Hudson,Richard,Hudson Richard,Energy and Commerce,,,
North Carolina,10th,R,2134 RHOB,(202) 225-2576,McHenry,Patrick,McHenry Patrick,Financial Services,,,
North Carolina,11th,R,1505 LHOB,(202) 225-6401,Edwards,Chuck,Edwards Chuck,Appropriations,Budget,,
North Carolina,12th,D,2436 RHOB,(202) 225-1510,Adams,Alma,Adams Alma,Agriculture,Education and the Workforce,,
North Carolina,13th,D,1133 LHOB,(202) 225-4531,Nickel,Wiley,Nickel Wiley,Financial Services,,,
North Carolina,14th,D,1318 LHOB,(202) 225-5634,Jackson,Jeff,Jackson Jeff,Armed Services,"Science, Space, and Technology",,
North Dakota,At Large,R,2235 RHOB,(202) 225-2611,Armstrong,Kelly,Armstrong Kelly,Select Subcommittee on the Weaponization of the Fed Govt,Energy and Commerce,Judiciary,
Northern Mariana Islands,Delegate,D,2267 RHOB,(202) 225-2646,Sablan,Gregorio,Sablan Gregorio,Education and the Workforce,Natural Resources,,
Ohio,1st,D,1432 LHOB,(202) 225-2216,Landsman,Greg,Landsman Greg,Small Business,Veterans' Affairs,,
Ohio,2nd,R,2335 RHOB,(202) 225-3164,Wenstrup,Brad,Wenstrup Brad,Intelligence,Select Subcommittee on the Coronavirus Pandemic,Ways and Means,
Ohio,3rd,D,2079 RHOB,(202) 225-4324,Beatty,Joyce,Beatty Joyce,Financial Services,,,
Ohio,4th,R,2056 RHOB,(202) 225-2676,Jordan,Jim,Jordan Jim,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,Judiciary,
Ohio,5th,R,2467 RHOB,(202) 225-6405,Latta,Robert,Latta Robert,Energy and Commerce,,,
Ohio,6th,R,2082 RHOB,(202) 225-5705,Johnson,Bill- Vacancy,Johnson Bill- Vacancy,,,,
Ohio,7th,R,143 CHOB,(202) 225-3876,Miller,Max,Miller Max,Agriculture,"Science, Space, and Technology",,
Ohio,8th,R,2113 RHOB,(202) 225-6205,Davidson,Warren,Davidson Warren,Financial Services,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,
Ohio,9th,D,2186 RHOB,(202) 225-4146,Kaptur,Marcy,Kaptur Marcy,Appropriations,,,
Ohio,10th,R,2183 RHOB,(202) 225-6465,Turner,Michael,Turner Michael,Armed Services,Oversight and Accountability,Intelligence,
Ohio,11th,D,449 CHOB,(202) 225-7032,Brown,Shontel,Brown Shontel,Agriculture,Oversight and Accountability,Select Comm on the Strategic Competition US and China,
Ohio,12th,R,2429 RHOB,(202) 225-5355,Balderson,Troy,Balderson Troy,Energy and Commerce,,,
Ohio,13th,D,1217 LHOB,(202) 225-6265,Sykes,Emilia,Sykes Emilia,Transportation and Infrastructure,"Science, Space, and Technology",,
Ohio,14th,R,2065 RHOB,(202) 225-5731,Joyce,David,Joyce David,Appropriations,Ethics,,
Ohio,15th,R,1433 LHOB,(202) 225-2015,Carey,Mike,Carey Mike,House Administration,Joint Committee of Congress on the Library,Ways and Means,
Oklahoma,1st,R,1019 LHOB,(202) 225-2211,Hern,Kevin,Hern Kevin,Ways and Means,,,
Oklahoma,2nd,R,1208 LHOB,(202) 225-2701,Brecheen,Josh,Brecheen Josh,Budget,Homeland Security,,
Oklahoma,3rd,R,2405 RHOB,(202) 225-5565,Lucas,Frank,Lucas Frank,Agriculture,Financial Services,"Science, Space, and Technology",
Oklahoma,4th,R,2207 RHOB,(202) 225-6165,Cole,Tom,Cole Tom,Appropriations,Rules,,
Oklahoma,5th,R,2437 RHOB,(202) 225-2132,Bice,Stephanie,Bice Stephanie,Appropriations,House Administration,"Science, Space, and Technology",
Oregon,1st,D,2231 RHOB,(202) 225-0855,Bonamici,Suzanne,Bonamici Suzanne,Education and the Workforce,"Science, Space, and Technology",,
Oregon,2nd,R,409 CHOB,(202) 225-6730,Bentz,Cliff,Bentz Cliff,Natural Resources,Judiciary,,
Oregon,3rd,D,1111 LHOB,(202) 225-4811,Blumenauer,Earl,Blumenauer Earl,Budget,Ways and Means,,
Oregon,4th,D,1620 LHOB,(202) 225-6416,Hoyle,Val,Hoyle Val,Natural Resources,Transportation and Infrastructure,,
Oregon,5th,R,1722 LHOB,(202) 225-5711,Chavez-DeRemer,Lori,Chavez-DeRemer Lori,Agriculture,Education and the Workforce,Transportation and Infrastructure,
Oregon,6th,D,109 CHOB,(202) 225-5643,Salinas,Andrea,Salinas Andrea,Agriculture,"Science, Space, and Technology",,
Pennsylvania,1st,R,271 CHOB,(202) 225-4276,Fitzpatrick,Brian,Fitzpatrick Brian,Intelligence,Ways and Means,,
Pennsylvania,2nd,D,1502 LHOB,(202) 225-6111,Boyle,Brendan,Boyle Brendan,Budget,,,
Pennsylvania,3rd,D,1105 LHOB,(202) 225-4001,Evans,Dwight,Evans Dwight,Ways and Means,,,
Pennsylvania,4th,D,150 CHOB,(202) 225-4731,Dean,Madeleine,Dean Madeleine,Foreign Affairs,Judiciary,,
Pennsylvania,5th,D,1227 LHOB,(202) 225-2011,Scanlon,Mary,Scanlon Mary,Judiciary,Rules,,
Pennsylvania,6th,D,1727 LHOB,(202) 225-4315,Houlahan,Chrissy,Houlahan Chrissy,Armed Services,Intelligence,,
Pennsylvania,7th,D,1027 LHOB,(202) 225-6411,Wild,Susan,Wild Susan,Education and the Workforce,Foreign Affairs,Ethics,
Pennsylvania,8th,D,2102 RHOB,(202) 225-5546,Cartwright,Matt,Cartwright Matt,Appropriations,,,
Pennsylvania,9th,R,350 CHOB,(202) 225-6511,Meuser,Daniel,Meuser Daniel,Financial Services,Small Business,,
Pennsylvania,10th,R,2160 RHOB,(202) 225-5836,Perry,Scott,Perry Scott,Foreign Affairs,Oversight and Accountability,Transportation and Infrastructure,
Pennsylvania,11th,R,302 CHOB,(202) 225-2411,Smucker,Lloyd,Smucker Lloyd,Budget,Education and the Workforce,Ways and Means,
Pennsylvania,12th,D,243 CHOB,(202) 225-2135,Lee,Summer,Lee Summer,Oversight and Accountability,"Science, Space, and Technology",,
Pennsylvania,13th,R,152 CHOB,(202) 225-2431,Joyce,John,Joyce John,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,,
Pennsylvania,14th,R,342 CHOB,(202) 225-2065,Reschenthaler,Guy,Reschenthaler Guy,Appropriations,Rules,,
Pennsylvania,15th,R,400 CHOB,(202) 225-5121,Thompson,Glenn,Thompson Glenn,Agriculture,Education and the Workforce,,
Pennsylvania,16th,R,1707 LHOB,(202) 225-5406,Kelly,Mike,Kelly Mike,Ways and Means,,,
Pennsylvania,17th,D,1222 LHOB,(202) 225-2301,Deluzio,Christopher,Deluzio Christopher,Armed Services,Veterans' Affairs,,
Puerto Rico,Resident Commissioner,R,2338 RHOB,(202) 225-2615,Gonzalez-Colon,Jenniffer,Gonzalez-Colon Jenniffer,Natural Resources,Transportation and Infrastructure,,
Rhode Island,1st,D,2233 RHOB,(202) 225-4911,Amo,Gabe,Amo Gabe,Foreign Affairs,"Science, Space, and Technology",,
Rhode Island,2nd,D,1218 LHOB,(202) 225-2735,Magaziner,Seth,Magaziner Seth,Homeland Security,Natural Resources,,
South Carolina,1st,R,1728 LHOB,(202) 225-3176,Mace,Nancy,Mace Nancy,Armed Services,Oversight and Accountability,Veterans' Affairs,
South Carolina,2nd,R,1436 LHOB,(202) 225-2452,Wilson,Joe,Wilson Joe,Armed Services,Education and the Workforce,Foreign Affairs,
South Carolina,3rd,R,2229 RHOB,(202) 225-5301,Duncan,Jeff,Duncan Jeff,Energy and Commerce,,,
South Carolina,4th,R,267 CHOB,(202) 225-6030,Timmons,William,Timmons William,Financial Services,Oversight and Accountability,,
South Carolina,5th,R,569 CHOB,(202) 225-5501,Norman,Ralph,Norman Ralph,Financial Services,Budget,Rules,
South Carolina,6th,D,274 CHOB,(202) 225-3315,Clyburn,James,Clyburn James,,,,
South Carolina,7th,R,1626 LHOB,(202) 225-9895,Fry,Russell,Fry Russell,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,Judiciary,
South Dakota,At Large,R,1714 LHOB,(202) 225-2801,Johnson,Dusty,Johnson Dusty,Agriculture,Transportation and Infrastructure,Select Comm on the Strategic Competition US and China,
Tennessee,1st,R,167 CHOB,(202) 225-6356,Harshbarger,Diana,Harshbarger Diana,Energy and Commerce,,,
Tennessee,2nd,R,1122 LHOB,(202) 225-5435,Burchett,Tim,Burchett Tim,Foreign Affairs,Oversight and Accountability,Transportation and Infrastructure,
Tennessee,3rd,R,2187 RHOB,(202) 225-3271,Fleischmann,Charles,Fleischmann Charles,Appropriations,"Science, Space, and Technology",,
Tennessee,4th,R,2304 RHOB,(202) 225-6831,DesJarlais,Scott,DesJarlais Scott,Agriculture,Armed Services,,
Tennessee,5th,R,151 CHOB,(202) 225-4311,Ogles,Andrew,Ogles Andrew,Financial Services,,,
Tennessee,6th,R,2238 RHOB,(202) 225-4231,Rose,John,Rose John,Agriculture,Financial Services,,
Tennessee,7th,R,2446 RHOB,(202) 225-2811,Green,Mark,Green Mark,Foreign Affairs,Homeland Security,,
Tennessee,8th,R,560 CHOB,(202) 225-4714,Kustoff,David,Kustoff David,Ways and Means,,,
Tennessee,9th,D,2268 RHOB,(202) 225-3265,Cohen,Steve,Cohen Steve,Judiciary,Transportation and Infrastructure,,
Texas,1st,R,1541 LHOB,(202) 225-3035,Moran,Nathaniel,Moran Nathaniel,Education and the Workforce,Foreign Affairs,Judiciary,
Texas,2nd,R,248 CHOB,(202) 225-6565,Crenshaw,Dan,Crenshaw Dan,Energy and Commerce,Intelligence,,
Texas,3rd,R,1113 LHOB,(202) 225-4201,Self,Keith,Self Keith,Foreign Affairs,Veterans' Affairs,,
Texas,4th,R,2416 RHOB,(202) 225-6673,Fallon,Pat,Fallon Pat,Armed Services,Oversight and Accountability,,
Texas,5th,R,2431 RHOB,(202) 225-3484,Gooden,Lance,Gooden Lance,Armed Services,Judiciary,,
Texas,6th,R,1721 LHOB,(202) 225-2002,Ellzey,Jake,Ellzey Jake,Appropriations,Small Business,,
Texas,7th,D,346 CHOB,(202) 225-2571,Fletcher,Lizzie,Fletcher Lizzie,Energy and Commerce,,,
Texas,8th,R,1320 LHOB,(202) 225-4901,Luttrell,Morgan,Luttrell Morgan,Armed Services,Homeland Security,Veterans' Affairs,
Texas,9th,D,2347 RHOB,(202) 225-7508,Green,Al,Green Al,Financial Services,,,
Texas,10th,R,2300 RHOB,(202) 225-2401,McCaul,Michael,McCaul Michael,Foreign Affairs,Homeland Security,,
Texas,11th,R,1124 LHOB,(202) 225-3605,Pfluger,August,Pfluger August,Homeland Security,Energy and Commerce,,
Texas,12th,R,2308 RHOB,(202) 225-5071,Granger,Kay,Granger Kay,Appropriations,,,
Texas,13th,R,446 CHOB,(202) 225-3706,Jackson,Ronny,Jackson Ronny,Agriculture,Armed Services,Foreign Affairs,Select Subcommittee on the Coronavirus Pandemic
Texas,14th,R,107 CHOB,(202) 225-2831,Weber,Randy,Weber Randy,Energy and Commerce,"Science, Space, and Technology",,
Texas,15th,R,1415 LHOB,(202) 225-9901,De La Cruz,Monica,De La Cruz Monica,Agriculture,Financial Services,,
Texas,16th,D,2448 RHOB,(202) 225-4831,Escobar,Veronica,Escobar Veronica,Armed Services,Judiciary,Ethics,
Texas,17th,R,2204 RHOB,(202) 225-6105,Sessions,Pete,Sessions Pete,Financial Services,Oversight and Accountability,,
Texas,18th,D,2314 RHOB,(202) 225-3816,Jackson Lee,Sheila,Jackson Lee Sheila,Budget,Homeland Security,Judiciary,
Texas,19th,R,1107 LHOB,(202) 225-4005,Arrington,Jodey,Arrington Jodey,Budget,Ways and Means,,
Texas,20th,D,2241 RHOB,(202) 225-3236,Castro,Joaquin,Castro Joaquin,Foreign Affairs,Intelligence,,
Texas,21st,R,103 CHOB,(202) 225-4236,Roy,Chip,Roy Chip,Budget,Judiciary,Rules,
Texas,22nd,R,1104 LHOB,(202) 225-5951,Nehls,Troy,Nehls Troy,Judiciary,Transportation and Infrastructure,,
Texas,23rd,R,2244 RHOB,(202) 225-4511,Gonzales,Tony,Gonzales Tony,Appropriations,Homeland Security,,
Texas,24th,R,1725 LHOB,(202) 225-6605,Van Duyne,Beth,Van Duyne Beth,Small Business,Ways and Means,,
Texas,25th,R,2336 RHOB,(202) 225-9896,Williams,Roger,Williams Roger,Financial Services,Small Business,,
Texas,26th,R,2161 RHOB,(202) 225-7772,Burgess,Michael,Burgess Michael,Budget,Energy and Commerce,Rules,
Texas,27th,R,171 CHOB,(202) 225-7742,Cloud,Michael,Cloud Michael,Appropriations,Oversight and Accountability,Select Subcommittee on the Coronavirus Pandemic,
Texas,28th,D,2372 RHOB,(202) 225-1640,Cuellar,Henry,Cuellar Henry,Appropriations,,,
Texas,29th,D,2419 RHOB,(202) 225-1688,Garcia,Sylvia,Garcia Sylvia,Financial Services,Select Subcommittee on the Weaponization of the Fed Govt,,
Texas,30th,D,1616 LHOB,(202) 225-8885,Crockett,Jasmine,Crockett Jasmine,Agriculture,Oversight and Accountability,,
Texas,31st,R,2208 RHOB,(202) 225-3864,Carter,John,Carter John,Appropriations,,,
Texas,32nd,D,348 CHOB,(202) 225-2231,Allred,Colin,Allred Colin,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,Transportation and Infrastructure,
Texas,33rd,D,2348 RHOB,(202) 225-9897,Veasey,Marc,Veasey Marc,Armed Services,Energy and Commerce,,
Texas,34th,D,154 CHOB,(202) 225-2531,Gonzalez,Vicente,Gonzalez Vicente,Financial Services,,,
Texas,35th,D,1339 LHOB,(202) 225-5645,Casar,Greg,Casar Greg,Agriculture,Oversight and Accountability,,
Texas,36th,R,2236 RHOB,(202) 225-1555,Babin,Brian,Babin Brian,Transportation and Infrastructure,"Science, Space, and Technology",,
Texas,37th,D,2307 RHOB,(202) 225-4865,Doggett,Lloyd,Doggett Lloyd,Budget,Joint Committee on Taxation,Ways and Means,
Texas,38th,R,1520 LHOB,(202) 225-5646,Hunt,Wesley,Hunt Wesley,Natural Resources,Judiciary,Small Business,
Utah,1st,R,1131 LHOB,(202) 225-0453,Moore,Blake,Moore Blake,Budget,Ways and Means,,
Utah,2nd,R,166 CHOB,(202) 225-9730,Maloy,Celeste,Maloy Celeste,Transportation and Infrastructure,Small Business,,
Utah,3rd,R,2323 RHOB,(202) 225-7751,Curtis,John,Curtis John,Energy and Commerce,Natural Resources,,
Utah,4th,R,309 CHOB,(202) 225-3011,Owens,Burgess,Owens Burgess,Education and the Workforce,Transportation and Infrastructure,,
Vermont,At Large,D,1408 LHOB,(202) 225-4115,Balint,Becca,Balint Becca,Budget,Judiciary,,
Virginia,1st,R,2055 RHOB,(202) 225-4261,Wittman,Robert,Wittman Robert,Armed Services,Natural Resources,Select Comm on the Strategic Competition US and China,
Virginia,2nd,R,1037 LHOB,(202) 225-4215,Kiggans,Jennifer,Kiggans Jennifer,Armed Services,Natural Resources,Veterans' Affairs,
Virginia,3rd,D,2328 RHOB,(202) 225-8351,Scott,Robert,Scott Robert,Budget,Education and the Workforce,,
Virginia,4th,D,2417 RHOB,(202) 225-6365,McClellan,Jennifer,McClellan Jennifer,Armed Services,"Science, Space, and Technology",,
Virginia,5th,R,461 CHOB,(202) 225-4711,Good,Bob,Good Bob,Budget,Education and the Workforce,,
Virginia,6th,R,2443 RHOB,(202) 225-5431,Cline,Ben,Cline Ben,Appropriations,Budget,Judiciary,
Virginia,7th,D,562 CHOB,(202) 225-2815,Spanberger,Abigail,Spanberger Abigail,Agriculture,Intelligence,,
Virginia,8th,D,1119 LHOB,(202) 225-4376,Beyer,Donald,Beyer Donald,Ways and Means,,,
Virginia,9th,R,2202 RHOB,(202) 225-3861,Griffith,H.,Griffith H.,House Administration,Energy and Commerce,,
Virginia,10th,D,1210 LHOB,(202) 225-5136,Wexton,Jennifer,Wexton Jennifer,Appropriations,Budget,,
Virginia,11th,D,2265 RHOB,(202) 225-1492,Connolly,Gerald,Connolly Gerald,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,
Virgin Islands,Delegate,D,2059 RHOB,(202) 225-1790,Plaskett,Stacey,Plaskett Stacey,Select Subcommittee on the Weaponization of the Fed Govt,Intelligence,,
Washington,1st,D,2330 RHOB,(202) 225-6311,DelBene,Suzan,DelBene Suzan,Ways and Means,,,
Washington,2nd,D,2163 RHOB,(202) 225-2605,Larsen,Rick,Larsen Rick,Transportation and Infrastructure,,,
Washington,3rd,D,1431 LHOB,(202) 225-3536,Perez,Marie,Perez Marie,Agriculture,Small Business,,
Washington,4th,R,504 CHOB,(202) 225-5816,Newhouse,Dan,Newhouse Dan,Appropriations,Select Comm on the Strategic Competition US and China,,
Washington,5th,R,2188 RHOB,(202) 225-2006,Rodgers,Cathy,Rodgers Cathy,Energy and Commerce,,,
Washington,6th,D,1226 LHOB,(202) 225-5916,Kilmer,Derek,Kilmer Derek,Appropriations,House Administration,,
Washington,7th,D,2346 RHOB,(202) 225-3106,Jayapal,Pramila,Jayapal Pramila,Education and the Workforce,Judiciary,,
Washington,8th,D,1110 LHOB,(202) 225-7761,Schrier,Kim,Schrier Kim,Energy and Commerce,,,
Washington,9th,D,2264 RHOB,(202) 225-8901,Smith,Adam,Smith Adam,Armed Services,,,
Washington,10th,D,1708 LHOB,(202) 225-9740,Strickland,Marilyn,Strickland Marilyn,Armed Services,Transportation and Infrastructure,,
West Virginia,1st,R,465 CHOB,(202) 225-3452,Miller,Carol,Miller Carol,Ways and Means,,,
West Virginia,2nd,R,2228 RHOB,(202) 225-2711,Mooney,Alexander,Mooney Alexander,Financial Services,,,
